,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.255,observed_Bladder_Per100k,-77.17,10,0.0
ethylbenzeneTotal,0.255,observed_Bladder_Per100k,0.0,0,0.0
pctSmoking,0.255,observed_Bladder_Per100k,5.18,0,0.0
pctElderly,0.255,observed_Bladder_Per100k,751.8,41,0.0
income,0.255,observed_Bladder_Per100k,0.0,0,0.0
higherEd,0.255,observed_Bladder_Per100k,3.98,17,0.817
unemploy,0.255,observed_Bladder_Per100k,-266.15,51,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2.67,1,0.162
ethylbenzeneTotal,0.004,observed_Bone_Per100k,0.0,0,0.0
pctSmoking,0.004,observed_Bone_Per100k,-0.01,0,0.824
pctElderly,0.004,observed_Bone_Per100k,15.28,8,0.075
income,0.004,observed_Bone_Per100k,0.0,0,0.349
higherEd,0.004,observed_Bone_Per100k,-1.05,1,0.58
unemploy,0.004,observed_Bone_Per100k,5.09,8,0.571
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4.85,3,0.191
ethylbenzeneTotal,0.06,observed_Brain_Per100k,-0.0,0,0.004
pctSmoking,0.06,observed_Brain_Per100k,0.96,0,0.0
pctElderly,0.06,observed_Brain_Per100k,123.91,15,0.0
income,0.06,observed_Brain_Per100k,0.0,0,0.026
higherEd,0.06,observed_Brain_Per100k,10.58,7,0.132
unemploy,0.06,observed_Brain_Per100k,-58.19,18,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33.95,18,0.07
ethylbenzeneTotal,0.279,observed_Breast_Per100k,0.0,0,0.0
pctSmoking,0.279,observed_Breast_Per100k,4.47,1,0.0
pctElderly,0.279,observed_Breast_Per100k,1308.07,55,0.0
income,0.279,observed_Breast_Per100k,0.0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152.27,32,0.0
unemploy,0.279,observed_Breast_Per100k,-238.06,86,0.006
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75.8,17,0.0
ethylbenzeneTotal,0.208,observed_Colorectal_Per100k,-0.0,0,0.0
pctSmoking,0.208,observed_Colorectal_Per100k,2.18,1,0.045
pctElderly,0.208,observed_Colorectal_Per100k,1274.99,52,0.0
income,0.208,observed_Colorectal_Per100k,0.0,0,0.564
higherEd,0.208,observed_Colorectal_Per100k,-49.78,29,0.092
unemploy,0.208,observed_Colorectal_Per100k,-148.84,93,0.113
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.083,observed_Esophagus_Per100k,-9.75,3,0.012
ethylbenzeneTotal,0.083,observed_Esophagus_Per100k,0.0,0,0.0
pctSmoking,0.083,observed_Esophagus_Per100k,1.07,0,0.0
pctElderly,0.083,observed_Esophagus_Per100k,132.21,13,0.0
income,0.083,observed_Esophagus_Per100k,0.0,0,0.333
higherEd,0.083,observed_Esophagus_Per100k,-0.54,4,0.898
