,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.256,observed_Bladder_Per100k,-77,11,0.0
n_5_1_fugitive_air_xylene,0.256,observed_Bladder_Per100k,0,0,0.053
pctSmoking,0.256,observed_Bladder_Per100k,5,0,0.0
pctElderly,0.256,observed_Bladder_Per100k,750,26,0.0
income,0.256,observed_Bladder_Per100k,0,0,0.0
higherEd,0.256,observed_Bladder_Per100k,4,13,0.759
unemploy,0.256,observed_Bladder_Per100k,-265,39,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.004,observed_Bone_Per100k,2,1,0.083
n_5_1_fugitive_air_xylene,0.004,observed_Bone_Per100k,0,0,0.229
pctSmoking,0.004,observed_Bone_Per100k,0,0,0.828
pctElderly,0.004,observed_Bone_Per100k,15,3,0.0
income,0.004,observed_Bone_Per100k,0,0,0.278
higherEd,0.004,observed_Bone_Per100k,-1,1,0.581
unemploy,0.004,observed_Bone_Per100k,5,5,0.334
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.06,observed_Brain_Per100k,-4,4,0.313
n_5_1_fugitive_air_xylene,0.06,observed_Brain_Per100k,0,0,0.507
pctSmoking,0.06,observed_Brain_Per100k,0,0,0.0
pctElderly,0.06,observed_Brain_Per100k,124,11,0.0
income,0.06,observed_Brain_Per100k,0,0,0.053
higherEd,0.06,observed_Brain_Per100k,10,5,0.068
unemploy,0.06,observed_Brain_Per100k,-58,16,0.0
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.279,observed_Breast_Per100k,-33,20,0.096
n_5_1_fugitive_air_xylene,0.279,observed_Breast_Per100k,0,0,0.222
pctSmoking,0.279,observed_Breast_Per100k,4,0,0.0
pctElderly,0.279,observed_Breast_Per100k,1307,47,0.0
income,0.279,observed_Breast_Per100k,0,0,0.0
higherEd,0.279,observed_Breast_Per100k,152,24,0.0
unemploy,0.279,observed_Breast_Per100k,-238,69,0.001
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.208,observed_Colorectal_Per100k,75,17,0.0
n_5_1_fugitive_air_xylene,0.208,observed_Colorectal_Per100k,0,0,0.549
pctSmoking,0.208,observed_Colorectal_Per100k,2,0,0.0
pctElderly,0.208,observed_Colorectal_Per100k,1275,42,0.0
income,0.208,observed_Colorectal_Per100k,0,0,0.588
higherEd,0.208,observed_Colorectal_Per100k,-49,21,0.021
unemploy,0.208,observed_Colorectal_Per100k,-148,61,0.015
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.082,observed_Esophagus_Per100k,-9,3,0.009
n_5_1_fugitive_air_xylene,0.082,observed_Esophagus_Per100k,0,0,0.249
pctSmoking,0.082,observed_Esophagus_Per100k,1,0,0.0
pctElderly,0.082,observed_Esophagus_Per100k,132,8,0.0
income,0.082,observed_Esophagus_Per100k,0,0,0.384
higherEd,0.082,observed_Esophagus_Per100k,0,4,0.916
unemploy,0.082,observed_Esophagus_Per100k,-7,12,0.542
,Adj. R,Cancer,Coefficient,Std. Error,p-Value
Intercept,0.103,observed_Kidney_Per100k,14,7,0.072
n_5_1_fugitive_air_xylene,0.103,observed_Kidney_Per100k,0,0,0.38
